volumeFlux;time
-1.875947242106074;3.2644480000000002
-1.8767141150809186;3.2645120000000003
-1.877479391721587;3.2645760000000004
-1.8782430720142018;3.26464
-1.8790051559813143;3.264704
-1.8797656436021077;3.264768
-1.880524534883521;3.264832
-1.881281829832493;3.2648960000000002
-1.8820375284386155;3.2649600000000003
-1.8827916307053578;3.2650240000000004
-1.8835441366396588;3.265088
-1.8842950462345798;3.265152
-1.8850443594866513;3.265216
-1.8857920763993425;3.26528
-1.886538196983062;3.2653440000000002
-1.8872827212152583;3.2654080000000003
-1.8880256491202174;3.2654720000000004
-1.8887669809668217;3.265536
-1.8895067687846323;3.2656
-1.8902451252474084;3.265664
-1.8909820650933606;3.265728
-1.8917175883086113;3.2657920000000003
-1.892451694901834;3.2658560000000003
-1.893184384869559;3.2659200000000004
-1.8939156582187255;3.265984
-1.8946455149337211;3.266048
-1.8953739550284232;3.266112
-1.8961009785028322;3.266176
-1.89682658534307;3.2662400000000003
-1.897550775566484;3.2663040000000003
-1.8982735491713394;3.2663680000000004
-1.8989949061350848;3.266432
-1.89971484649068;3.266496
-1.9004333702121041;3.26656
-1.9011504773080308;3.266624
-1.9018661677888682;3.2666880000000003
-1.9025804416355347;3.2667520000000003
-1.9032932988619078;3.2668160000000004
-1.9040047394679878;3.26688
-1.9047147634398964;3.266944
-1.9054233708001855;3.267008
-1.90613056151763;3.267072
-1.9068363356303937;3.2671360000000003
-1.9075406931089862;3.2672000000000003
-1.9082436339620812;3.267264
-1.9089451581966177;3.267328
-1.9096452657952485;3.267392
-1.9103439567805247;3.267456
-1.9110412311403036;3.26752
-1.9117370888676462;3.2675840000000003
-1.9124315299798995;3.2676480000000003
-1.913124568483221;3.2677120000000004
-1.913816320132239;3.267776
-1.9145068419820084;3.26784
-1.9151961344245767;3.267904
-1.9158841974651482;3.267968
-1.9165710311106616;3.2680320000000003
-1.9172566353455045;3.2680960000000003
-1.9179410101783507;3.26816
-1.9186241556091999;3.268224
-1.9193060716432564;3.268288
-1.9199867582666426;3.268352
-1.9206662154897665;3.268416
-1.921344443319567;3.2684800000000003
-1.9220214417300236;3.2685440000000003
-1.9226972107488915;3.2686080000000004
-1.9233717503657628;3.268672
-1.9240450605771675;3.268736
-1.9247171413848407;3.2688
-1.9253879927870476;3.268864
-1.926057614797666;3.2689280000000003
-1.9267260073958792;3.2689920000000003
-1.927393170595565;3.269056
-1.9280591043897843;3.26912
-1.9287238087802723;3.269184
-1.9293872837774368;3.269248
-1.9300495293639308;3.269312
-1.9307105455484281;3.2693760000000003
-1.9313703323326632;3.2694400000000003
-1.932028889711432;3.269504
-1.9326862176916733;3.269568
-1.9333423162647134;3.269632
-1.9339971854392264;3.269696
-1.9346508252082728;3.26976
-1.9353032366439122;3.2698240000000003
-1.9359544896502963;3.2698880000000003
-1.9366046962211725;3.269952
-1.9372538664162027;3.270016
-1.9379020002492642;3.27008
-1.9385490977012754;3.270144
-1.9391951587826446;3.2702080000000002
-1.939840183496841;3.2702720000000003
-1.940484171836926;3.2703360000000004
-1.9411271237994299;3.2704
-1.9417690393999654;3.270464
-1.942409918628124;3.270528
-1.943049761478702;3.270592
-1.9436885679586375;3.2706560000000002
-1.9443263380696658;3.2707200000000003
-1.9449630718083173;3.2707840000000004
-1.945598769174592;3.270848
-1.9462334301719593;3.270912
-1.9468670547865414;3.270976
-1.947499643046094;3.27104
-1.9481311949211266;3.2711040000000002
-1.948761710434191;3.2711680000000003
-1.9493911895662048;3.2712320000000004
-1.9500196323345154;3.271296
-1.9506470387269799;3.27136
-1.951273408743598;3.271424
-1.9518987423982477;3.271488
-1.9525230396753164;3.2715520000000002
-1.9531463005834777;3.2716160000000003
-1.953768525114058;3.2716800000000004
-1.9543897132792005;3.271744
-1.9550098650702314;3.271808
-1.9556289804906202;3.271872
-1.9562470595368975;3.271936
-1.956864124318114;3.2720000000000002
-1.9574803033946264;3.2720640000000003
-1.958095643132124;3.2721280000000004
-1.9587101436017302;3.272192
-1.9593238048051798;3.272256
-1.9599366267251257;3.27232
-1.9605486093823843;3.272384
